L,R,D,U,測試次數,最多移動步數,掉落次數,掉落機率
1,20,1,20,10000,1000,1001,0.1001
11,220,21,210,10000,1000,1458,0.1458
23,460,63,420,10000,1000,1899,0.1899
2,40,7,35,10000,1000,2443,0.2443
5,100,21,84,10000,1000,2879,0.2879
13,260,63,210,10000,1000,3391,0.3391
9,180,49,140,10000,1000,3795,0.3795
1,20,6,15,10000,1000,4356,0.4356
29,580,189,420,10000,1000,4755,0.4755
1,20,7,14,10000,1000,5234,0.5234
31,620,231,420,10000,1000,5764,0.5764
8,160,63,105,10000,1000,6146,0.6146
11,220,91,140,10000,1000,6633,0.6633
17,340,147,210,10000,1000,7128,0.7128
1,20,9,12,10000,1000,7612,0.7612
3,60,28,35,10000,1000,8071,0.8071
37,740,357,420,10000,1000,8537,0.8537
19,380,189,210,10000,1000,9038,0.9038
13,260,133,140,10000,1000,9381,0.9381
21,210,11,220,10000,1000,1468,0.1468
1,10,1,10,10000,1000,1803,0.1803
23,230,33,220,10000,1000,2249,0.2249
6,60,11,55,10000,1000,2844,0.2844
5,50,11,44,10000,1000,3171,0.3171
13,130,33,110,10000,1000,3678,0.3678
27,270,77,220,10000,1000,4280,0.428
7,70,22,55,10000,1000,4651,0.4651
29,290,99,220,10000,1000,5079,0.5079
3,30,11,22,10000,1000,5483,0.5483
31,310,121,220,10000,1000,5944,0.5944
8,80,33,55,10000,1000,6471,0.6471
3,30,13,20,10000,1000,6805,0.6805
17,170,77,110,10000,1000,7232,0.7232
7,70,33,44,10000,1000,7737,0.7737
9,90,44,55,10000,1000,8180,0.818
37,370,187,220,10000,1000,8699,0.8699
19,190,99,110,10000,1000,9099,0.9099
39,390,209,220,10000,1000,9386,0.9386
63,420,23,460,10000,1000,1953,0.1953
33,220,23,230,10000,1000,2284,0.2284
3,20,3,20,10000,1000,2719,0.2719
18,120,23,115,10000,1000,3261,0.3261
15,100,23,92,10000,1000,3641,0.3641
39,260,69,230,10000,1000,4127,0.4127
81,540,161,460,10000,1000,4504,0.4504
21,140,46,115,10000,1000,4934,0.4934
87,580,207,460,10000,1000,5307,0.5307
9,60,23,46,10000,1000,5797,0.5797
93,620,253,460,10000,1000,6217,0.6217
24,160,69,115,10000,1000,6594,0.6594
99,660,299,460,10000,1000,6969,0.6969
51,340,161,230,10000,1000,7468,0.7468
21,140,69,92,10000,1000,7888,0.7888
27,180,92,115,10000,1000,8339,0.8339
111,740,391,460,10000,1000,8698,0.8698
57,380,207,230,10000,1000,9139,0.9139
117,780,437,460,10000,1000,9410,0.941
7,35,2,40,10000,1000,2401,0.2401
11,55,6,60,10000,1000,2776,0.2776
23,115,18,120,10000,1000,3313,0.3313
1,5,1,5,10000,1000,3693,0.3693
5,25,6,24,10000,1000,3981,0.3981
13,65,18,60,10000,1000,4326,0.4326
9,45,14,40,10000,1000,4856,0.4856
7,35,12,30,10000,1000,5148,0.5148
29,145,54,120,10000,1000,5636,0.5636
1,5,2,4,10000,1000,5947,0.5947
31,155,66,120,10000,1000,6423,0.6423
4,20,9,15,10000,1000,6862,0.6862
11,55,26,40,10000,1000,7129,0.7129
17,85,42,60,10000,1000,7583,0.7583
7,35,18,24,10000,1000,8000,0.8
3,15,8,10,10000,1000,8331,0.8331
